dataset,model,seed,val_hr,val_ndcg,val_auc,test_hr,test_ndcg,test_auc,epochs,val_epoch
support_groups_full_164,mf_baseline,42,0.0455,0.0286,0.4475,0.0571,0.0395,0.5094,20,3
support_groups_full_164,mf_baseline,52,0.0455,0.0286,0.4334,0.0571,0.0490,0.5518,20,1
support_groups_full_164,mf_baseline,62,0.0303,0.0210,0.4796,0.0429,0.0188,0.5350,20,1
support_groups_full_164,mf_baseline,122,0.0606,0.0287,0.5341,0.0571,0.0234,0.5074,20,7
support_groups_full_164,mf_baseline,232,0.0303,0.0210,0.4924,0.0143,0.0143,0.4930,20,4
support_groups_full_164,mf_pl,42,0.0606,0.0280,0.5095,0.0000,0.0000,0.4592,20,1
support_groups_full_164,mf_pl,52,0.0303,0.0247,0.4827,0.0143,0.0143,0.4967,20,1
support_groups_full_164,mf_pl,62,0.0152,0.0096,0.5376,0.0286,0.0233,0.4566,20,1
support_groups_full_164,mf_pl,122,0.0606,0.0292,0.4621,0.0429,0.0341,0.5366,20,2
support_groups_full_164,mf_pl,232,0.0303,0.0217,0.4683,0.0429,0.0357,0.5102,20,1
support_groups_full_164,mlp_baseline,42,0.0152,0.0059,0.3933,0.0143,0.0055,0.3696,20,1
support_groups_full_164,mlp_baseline,52,0.0303,0.0117,0.3630,0.0000,0.0000,0.3609,20,2
support_groups_full_164,mlp_baseline,62,0.0000,0.0000,0.1606,0.0000,0.0000,0.1324,20,20
support_groups_full_164,mlp_baseline,122,0.0455,0.0323,0.4542,0.0143,0.0062,0.4080,20,1
support_groups_full_164,mlp_baseline,232,0.0000,0.0000,0.1665,0.0000,0.0000,0.1381,20,20
support_groups_full_164,mlp_pl,42,0.0000,0.0000,0.1647,0.0000,0.0000,0.1361,20,20
support_groups_full_164,mlp_pl,52,0.0303,0.0124,0.4804,0.0143,0.0055,0.4062,20,1
support_groups_full_164,mlp_pl,62,0.0152,0.0076,0.4242,0.0143,0.0055,0.3541,20,1
support_groups_full_164,mlp_pl,122,0.0152,0.0059,0.4333,0.0429,0.0252,0.4585,20,1
support_groups_full_164,mlp_pl,232,0.0000,0.0000,0.1450,0.0000,0.0000,0.1528,20,20
support_groups_full_164,neumf_baseline,42,0.0303,0.0154,0.4201,0.0286,0.0286,0.4067,20,1
support_groups_full_164,neumf_baseline,52,0.0152,0.0096,0.4301,0.0286,0.0133,0.4754,20,1
support_groups_full_164,neumf_baseline,62,0.0455,0.0323,0.4596,0.0429,0.0330,0.4672,20,1
support_groups_full_164,neumf_baseline,122,0.0455,0.0286,0.5211,0.0286,0.0198,0.4608,20,1
support_groups_full_164,neumf_baseline,232,0.1061,0.0744,0.5106,0.0429,0.0270,0.4816,20,1
support_groups_full_164,neumf_pl,42,0.0152,0.0096,0.4960,0.0571,0.0366,0.4901,20,1
support_groups_full_164,neumf_pl,52,0.1061,0.0593,0.5753,0.0571,0.0360,0.5073,20,1
support_groups_full_164,neumf_pl,62,0.0909,0.0462,0.4854,0.0714,0.0376,0.5672,20,6
support_groups_full_164,neumf_pl,122,0.0303,0.0187,0.5267,0.0571,0.0447,0.5315,20,1
support_groups_full_164,neumf_pl,232,0.0455,0.0193,0.5017,0.0714,0.0399,0.4993,20,1
